service_name,logistic_name,province_name,city_name,package_finalweight_value,rates_shipment_value,rates_insurance_value,surchargefee,delivery_sla_binary
Freight,Veridian,Bali,Denpasar,34.0,136000.0,4088.0,0.0,1
Freight,Veridian,Jawa Barat,"Sukabumi, Kota",17.0,136000.0,3721.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Barat,1.0,10000.0,7583.0,0.0,1
Standard,Veridian,Jawa Timur,"Malang, Kota",1.0,23000.0,718.0,0.0,1
Standard,Veridian,DI Yogyakarta,Kulon Progo,1.0,14000.0,1159.0,0.0,1
Standard,Veridian,Sumatera Utara,Batu Bara,3.0,30000.0,785.0,0.0,1
Freight,Veridian,Kalimantan Barat,"Pontianak, Kota",25.0,75000.0,3060.0,0.0,1
Standard,Veridian,Jawa Barat,"Bekasi, Kota",1.0,10000.0,0.0,0.0,1
Freight,Veridian,Sumatera Selatan,Palembang,35.0,140000.0,3690.0,0.0,1
Standard,Veridian,Kalimantan Timur,Penajam Paser Utara,1.0,32000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Selatan,1.0,10000.0,383.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Pusat,1.0,10000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Barat,2.0,20000.0,44998.0,0.0,0
Standard,Veridian,Kalimantan Selatan,Tabalong,1.0,60000.0,0.0,0.0,1
Standard,Veridian,Jawa Timur,"Madiun, Kab.",2.0,58000.0,71248.0,0.0,0
Standard,Veridian,Jawa Barat,"Bogor, Kab.",1.0,10000.0,0.0,0.0,0
Connect,Veridian,DKI Jakarta,Jakarta Selatan,1.0,10000.0,0.0,0.0,1
Standard,Veridian,Kalimantan Barat,Sambas,6.0,72000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Timur,1.0,10000.0,0.0,0.0,1
Freight,Veridian,Jawa Barat,Depok,7.0,40000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Pusat,1.0,10000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Timur,1.0,10000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Selatan,1.0,10000.0,0.0,0.0,1
Standard,Veridian,Sulawesi Selatan,Makassar,1.0,63000.0,0.0,0.0,1
Freight,Veridian,Sumatera Utara,Medan,2.0,75000.0,71248.0,0.0,0
Connect,Veridian,Bali,Denpasar,1.0,9000.0,513.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Selatan,3.0,30000.0,0.0,0.0,1
Freight,Veridian,Bali,Gianyar,3.0,115000.0,0.0,0.0,1
Standard,Veridian,Banten,Tangerang Selatan,1.0,10000.0,393.0,0.0,1
Standard,Veridian,Sulawesi Selatan,Bone,1.0,17000.0,430.0,0.0,1
Standard,Veridian,Banten,"Tangerang, Kab.",2.0,20000.0,44998.0,0.0,0
Standard,Veridian,Jawa Barat,"Tasikmalaya, Kota",1.0,15000.0,0.0,0.0,1
Freight,Veridian,Sumatera Selatan,Palembang,47.0,188000.0,3218.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Timur,1.0,10000.0,375.0,0.0,1
Standard,Veridian,Sumatera Selatan,Palembang,1.0,27000.0,0.0,0.0,1
Standard,Veridian,Jawa Barat,"Bandung, Kota",1.0,9000.0,445.0,0.0,1
Standard,Veridian,Jawa Barat,"Bekasi, Kota",1.0,10000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Selatan,1.0,10000.0,1652.0,0.0,1
Standard,Veridian,Jawa Barat,"Bekasi, Kota",1.0,10000.0,0.0,0.0,0
Connect,Veridian,DKI Jakarta,Jakarta Timur,1.0,10000.0,0.0,0.0,0
Standard,Veridian,Jawa Timur,Surabaya,1.0,20000.0,0.0,0.0,1
Connect,Veridian,Sulawesi Selatan,Makassar,1.0,7000.0,0.0,0.0,1
Standard,Veridian,Jawa Timur,"Blitar, Kab.",1.0,26000.0,0.0,0.0,1
Freight,Veridian,Bali,Badung,44.0,176000.0,3438.0,0.0,1
Freight,Veridian,DKI Jakarta,Jakarta Selatan,391.0,1764000.0,22660.0,200000.0,1
Standard,Veridian,Kalimantan Timur,Kutai Kartanegara,1.0,77000.0,0.0,0.0,1
Connect,Veridian,Jawa Tengah,"Semarang, Kota",1.0,9000.0,275.0,0.0,1
Standard,Veridian,Jawa Tengah,"Tegal, Kab.",1.0,8000.0,0.0,0.0,1
Connect,Veridian,DKI Jakarta,Jakarta Selatan,1.0,10000.0,0.0,0.0,1
Standard,Veridian,Jawa Barat,"Cirebon, Kab.",1.0,18000.0,0.0,0.0,0
Freight,Veridian,Jawa Timur,Surabaya,68.0,272000.0,7425.0,0.0,0
Standard,Veridian,Jawa Timur,Surabaya,1.0,20000.0,0.0,0.0,0
Standard,Velocity,Lampung,Bandar Lampung,1.0,17187.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Barat,2.0,18000.0,1446.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,9000.0,0.0,0.0,1
Standard,Velocity,Kalimantan Selatan,Barito Kuala,1.0,40900.0,0.0,0.0,1
Standard,Velocity,Sulawesi Selatan,Pinrang,1.0,53000.0,0.0,0.0,1
Standard,Velocity,Banten,Tangerang Selatan,1.0,10000.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Pusat,2.0,16000.0,0.0,0.0,0
Standard,Velocity,Jawa Barat,"Bekasi, Kota",1.0,9099.0,0.0,0.0,1
Standard,Velocity,Bali,Buleleng,1.0,12500.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,10900.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,9099.0,0.0,0.0,0
Standard,Velocity,Jawa Barat,Subang,1.0,27000.0,1370.0,0.0,1
Standard,Velocity,Sulawesi Utara,Manado,1.0,55000.0,0.0,0.0,1
Standard,Velocity,Banten,Tangerang Selatan,1.0,9099.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Jember,1.0,22300.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,"Malang, Kab.",1.0,10000.0,0.0,0.0,0
Standard,Velocity,Sumatera Barat,Pasaman Barat,1.0,44181.0,0.0,0.0,0
Standard,Velocity,Sumatera Utara,Pematang Siantar,1.0,47518.0,0.0,0.0,0
Standard,Velocity,Jambi,Bungo,1.0,37000.0,0.0,0.0,1
Standard,Velocity,Banten,Tangerang Selatan,1.0,9099.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Timur,1.0,8000.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,0
Standard,Velocity,Jawa Timur,Gresik,1.0,22300.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Timur,1.0,8000.0,0.0,0.0,1
Standard,Velocity,Sumatera Barat,Agam,1.0,25500.0,0.0,0.0,0
Standard,Velocity,Sumatera Selatan,Ogan Komering Ulu,1.0,29600.0,0.0,0.0,1
Standard,Velocity,Jawa Tengah,Batang,1.0,22445.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Sidoarjo,1.0,7000.0,0.0,0.0,0
Standard,Velocity,Jawa Timur,Lamongan,1.0,8600.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Utara,1.0,8000.0,0.0,0.0,1
Standard,Velocity,Sulawesi Utara,Manado,1.0,69500.0,0.0,0.0,0
Standard,Velocity,Jawa Timur,Surabaya,1.0,17500.0,1546.0,0.0,1
Standard,Velocity,Sumatera Utara,Deli Serdang,1.0,39000.0,0.0,0.0,1
Standard,Velocity,Banten,"Tangerang, Kota",1.0,9099.0,0.0,0.0,0
Standard,Velocity,Jawa Timur,Sumenep,1.0,11000.0,0.0,0.0,1
Standard,Velocity,Riau,Rokan Hilir,1.0,37104.0,1492.0,0.0,0
Standard,Velocity,Sumatera Barat,Pesisir Selatan,1.0,44181.0,0.0,0.0,0
Standard,Velocity,Jawa Barat,"Bekasi, Kab.",1.0,9099.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Jember,1.0,22546.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Surabaya,1.0,16000.0,0.0,0.0,1
Standard,Velocity,Nusa Tenggara Barat,Mataram,1.0,42000.0,0.0,0.0,1
Standard,Velocity,Kalimantan Barat,Singkawang,1.0,50800.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Barat,1.0,9000.0,0.0,0.0,1
Standard,Velocity,Bali,Buleleng,1.0,35588.0,0.0,0.0,1
Standard,Velocity,Sumatera Barat,Padang,1.0,30000.0,1623.0,0.0,1
Standard,Velocity,Banten,"Tangerang, Kab.",1.0,9099.0,0.0,0.0,1
Standard,Velocity,Kalimantan Timur,Balikpapan,1.0,40000.0,0.0,0.0,1
Standard,Velocity,Kalimantan Timur,Balikpapan,1.0,40000.0,0.0,0.0,1
Standard,Velocity,Sumatera Barat,Padang,1.0,30000.0,0.0,0.0,0
Standard,Velocity,Bali,Badung,1.0,24500.0,0.0,0.0,1
Standard,Velocity,Jawa Tengah,Salatiga,1.0,19200.0,0.0,0.0,1
Standard,Velocity,Riau,Pekanbaru,1.0,19000.0,0.0,0.0,0
Standard,Velocity,Jawa Tengah,Klaten,1.0,16000.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Utara,1.0,8000.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Surabaya,1.0,18900.0,0.0,0.0,0
Standard,Velocity,Banten,Cilegon,1.0,11300.0,1623.0,0.0,1
Standard,Velocity,Jawa Timur,Nganjuk,1.0,21800.0,0.0,0.0,1
Standard,Velocity,Riau,Rokan Hulu,1.0,47518.0,0.0,0.0,1
Standard,Velocity,Jawa Barat,Karawang,1.0,10000.0,0.0,0.0,1
Standard,Velocity,Banten,"Serang, Kab.",1.0,11829.0,0.0,0.0,1
Standard,Velocity,Jawa Barat,"Bekasi, Kab.",1.0,9000.0,0.0,0.0,1
Standard,Velocity,Nusa Tenggara Barat,Sumbawa Barat,1.0,46102.0,0.0,0.0,1
Standard,Velocity,Lampung,Bandar Lampung,1.0,17000.0,0.0,0.0,0
Standard,Velocity,Nusa Tenggara Barat,Lombok Tengah,1.0,23000.0,0.0,0.0,1
Standard,Velocity,Bali,Denpasar,1.0,26792.0,1641.0,0.0,0
Standard,Velocity,Sulawesi Utara,Manado,1.0,58639.0,0.0,0.0,0
Standard,Velocity,Bali,Klungkung,1.0,34678.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Barat,1.0,9099.0,0.0,0.0,0
Standard,Velocity,Jawa Barat,Garut,1.0,10000.0,0.0,0.0,0
Standard,Velocity,Jawa Barat,"Bogor, Kab.",1.0,9099.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Gresik,1.0,23000.0,0.0,0.0,1
Standard,Velocity,Banten,Pandeglang,1.0,10919.0,0.0,0.0,1
Standard,Velocity,Nusa Tenggara Barat,Lombok Tengah,1.0,23000.0,0.0,0.0,1
Standard,Velocity,Jawa Tengah,Jepara,1.0,20000.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Sumenep,1.0,11000.0,0.0,0.0,1
Standard,Velocity,Jawa Tengah,Sragen,1.0,13500.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Bondowoso,1.0,12300.0,0.0,0.0,1
Standard,Velocity,Sulawesi Utara,Manado,1.0,58000.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Barat,1.0,8000.0,3403.0,0.0,1
Standard,Velocity,Bali,Badung,1.0,32352.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,"Madiun, Kota",1.0,18000.0,0.0,0.0,0
Standard,Velocity,Banten,"Tangerang, Kab.",1.0,9099.0,0.0,0.0,1
Standard,Velocity,Kepulauan Riau,Batam,1.0,32000.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,15000.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Utara,1.0,8000.0,0.0,0.0,1
Standard,Velocity,DKI Jakarta,Jakarta Pusat,1.0,8000.0,0.0,0.0,0
Standard,Velocity,Jawa Timur,Sidoarjo,1.0,7000.0,0.0,0.0,0
Standard,Velocity,Jawa Timur,Nganjuk,1.0,22040.0,2983.0,0.0,1
Standard,Velocity,Kalimantan Timur,Kutai Kartanegara,1.0,54600.0,0.0,0.0,1
Standard,Velocity,Jawa Timur,Lamongan,1.0,8600.0,0.0,0.0,1
Standard,Velocity,Jawa Barat,"Bekasi, Kab.",1.0,9099.0,0.0,0.0,1
Standard,Velocity,Sumatera Barat,Solok Selatan,1.0,28000.0,0.0,0.0,0
Standard,Velocity,Jawa Timur,Magetan,1.0,12300.0,0.0,0.0,0
Standard,Velocity,DKI Jakarta,Jakarta Selatan,1.0,8000.0,0.0,0.0,1
Standard,Velocity,Jawa Barat,Cianjur,1.0,9000.0,0.0,0.0,1
Standard,Velocity,Aceh,Langsa,1.0,25000.0,0.0,0.0,1
Standard,Velocity,Lampung,Lampung Selatan,1.0,22500.0,0.0,0.0,0
Swift,Chronos,Banten,"Serang, Kota",1.0,9000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,9000.0,500.0,0.0,1
Swift,Chronos,Riau,Indragiri Hilir,1.0,18000.0,0.0,0.0,0
Swift,Chronos,Jawa Barat,Cianjur,1.0,15000.0,0.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,9000.0,1213.0,0.0,1
Swift,Chronos,Riau,Indragiri Hilir,1.0,18000.0,0.0,0.0,0
Swift,Chronos,Riau,Pelalawan,1.0,15000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,2425.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kab.",1.0,9000.0,4532.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,3165.0,0.0,1
Swift,Chronos,Jawa Tengah,Demak,1.0,21000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kota",3.0,27000.0,3918.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kota",1.0,9000.0,2425.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,3265.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,1713.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Banten,"Tangerang, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Timur,"Malang, Kota",1.0,19000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kab.",1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Timur,Surabaya,1.0,18000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,DI Yogyakarta,Yogyakarta,1.0,17000.0,0.0,0.0,0
Swift,Chronos,Banten,"Tangerang, Kota",1.0,9000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Pusat,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Kalimantan Barat,"Pontianak, Kota",3.0,108000.0,27270.0,0.0,1
Swift,Chronos,Jawa Tengah,Salatiga,1.0,21000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,2425.0,0.0,1
Swift,Chronos,Kalimantan Selatan,Banjarbaru,1.0,59000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,8000.0,1213.0,0.0,0
Swift,Chronos,Banten,Tangerang Selatan,1.0,9000.0,4783.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,3638.0,0.0,1
Swift,Chronos,Jawa Tengah,Klaten,1.0,18000.0,4770.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,1145.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,2425.0,0.0,0
Swift,Chronos,Jawa Barat,Depok,1.0,9000.0,1475.0,0.0,0
Swift,Chronos,Banten,Tangerang Selatan,1.0,9000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,Depok,2.0,18000.0,0.0,0.0,1
Swift,Chronos,Sumatera Utara,Medan,1.0,36000.0,3550.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,3550.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,Jawa Tengah,"Magelang, Kota",1.0,26000.0,0.0,0.0,1
Swift,Chronos,Sumatera Selatan,Prabumulih,1.0,29000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kab.",1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,2.0,18000.0,0.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,8000.0,0.0,0.0,1
Swift,Chronos,Banten,"Tangerang, Kab.",2.0,16000.0,0.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,8000.0,0.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bandung, Kab.",1.0,11000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bogor, Kab.",1.0,9000.0,0.0,0.0,0
Swift,Chronos,Jawa Barat,Cianjur,1.0,14000.0,0.0,0.0,0
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,8000.0,3275.0,0.0,0
Swift,Chronos,Jawa Barat,"Bekasi, Kab.",1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Timur,1.0,8000.0,6128.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,1213.0,0.0,0
Swift,Chronos,Bali,Denpasar,1.0,27000.0,2188.0,0.0,0
Swift,Chronos,Banten,Tangerang Selatan,1.0,9000.0,2425.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,8000.0,1213.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,2.0,18000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Tasikmalaya, Kab.",1.0,18000.0,0.0,0.0,1
Swift,Chronos,Jawa Timur,"Malang, Kota",1.0,19000.0,0.0,0.0,1
Swift,Chronos,Bali,Badung,1.0,30000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,3.0,27000.0,3738.0,0.0,1
Swift,Chronos,Kalimantan Timur,Samarinda,1.0,66000.0,0.0,0.0,0
Swift,Chronos,Jawa Timur,Surabaya,1.0,18000.0,0.0,0.0,0
Swift,Chronos,Kalimantan Timur,Balikpapan,1.0,62000.0,0.0,0.0,1
Swift,Chronos,Jawa Tengah,Cilacap,1.0,16000.0,0.0,0.0,1
Swift,Chronos,Kepulauan Riau,Batam,1.0,42000.0,0.0,0.0,1
Swift,Chronos,Riau,Kampar,1.0,14000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Pusat,3.0,27000.0,3748.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,8000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,Depok,1.0,9000.0,1213.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kota",3.0,27000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Sumatera Utara,Medan,1.0,36000.0,3400.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,8000.0,0.0,0.0,1
Swift,Chronos,Banten,"Tangerang, Kab.",1.0,8000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bandung, Kota",1.0,11000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,3113.0,0.0,0
Swift,Chronos,Jawa Barat,"Bekasi, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,2.0,18000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Pusat,1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Selatan,1.0,9000.0,0.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Barat,1.0,8000.0,925.0,0.0,1
Swift,Chronos,DKI Jakarta,Jakarta Utara,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Jawa Barat,"Bekasi, Kota",1.0,9000.0,0.0,0.0,1
Swift,Chronos,Banten,Tangerang Selatan,1.0,8000.0,0.0,0.0,1
Swift,Chronos,Kalimantan Selatan,Banjarbaru,1.0,54000.0,0.0,0.0,1
Swift,Chronos,Banten,"Serang, Kab.",1.0,9000.0,0.0,0.0,0
Swift,Chronos,Sumatera Utara,Pematang Siantar,1.0,42000.0,350.0,0.0,1
Swift,Chronos,Jawa Barat,Depok,1.0,9000.0,0.0,0.0,1
Swift,Chronos,Riau,Pekanbaru,3.0,102000.0,0.0,0.0,0
Classic,Phantom,Jawa Timur,"Malang, Kab.",1.0,23800.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bekasi, Kab.",1.0,8000.0,0.0,0.0,0
Classic,Phantom,DKI Jakarta,Jakarta Utara,1.0,8000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Timur,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Jawa Barat,"Bogor, Kab.",1.0,8000.0,0.0,0.0,1
Classic,Phantom,Sulawesi Utara,Manado,1.0,122000.0,0.0,0.0,0
Classic,Phantom,Banten,Tangerang Selatan,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Sumatera Utara,Langkat,1.0,51200.0,0.0,0.0,0
Classic,Phantom,Jawa Barat,Subang,1.0,12000.0,0.0,0.0,1
Classic,Phantom,DKI Jakarta,Jakarta Barat,1.0,8000.0,0.0,0.0,1
Classic,Phantom,Papua Barat,Manokwari,1.0,141600.0,0.0,0.0,0
Classic,Phantom,DKI Jakarta,Jakarta Utara,1.0,8000.0,0.0,0.0,1
